# IPv6 signatures file (dangerous and spammy ISPs).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/v2/vault/ipv6_isps.dat

# Version: 2023.254.0
# Last modified: 2023.09.12

# False positive risk (an approximate, rough estimate only):
# Standard usage (i.e., used with standard CIDRAM features, default bypasses, etc): « [ ]Low [x]Medium [ ]High »
#  Exported usage (i.e., used W/O standard CIDRAM features, default bypasses, etc): « [ ]Low [ ]Medium [x]High »


# ---
# ASNs 34665, 44050 ("Petersburg Internet Network ltd").
# Major domestic ISP from Russia, but also a significant, long-term source of
# spam, hack attempts, scraping, probing for vulnerabilities, and other kinds
# of unwanted traffic.
# Stop Forum Spam (SFS) listings: 1,108,542 (AS34665), 65 (AS44050).
# Updated: 2023.04.01

2a02:c6c1::/48 Deny Spam
Origin: GB
2a00:1d78::/32 Deny Spam
2a0b:d000::/29 Deny Spam
2a0c:8700::/29 Deny Spam
2a0d:1ac3::/32 Deny Spam
2a0d:8fc0::/29 Deny Spam
2a0e:e5c0::/29 Deny Spam
Origin: RU
Profile: Domestic ISP
Tag: PIN-AS


# ASN 43260 ("DGN TEKNOLOJI BILISIM YAYINCILIK SANAYI VE LIMITED SIRKETI").
# Turkish multiplay network (webhosting provider, domestic ISP, data center,
# plus others). Caught trying to DDoS SFS. Brute-force, DDoS, phishing attacks,
# port scans, and spam detected from here.
# Stop Forum Spam (SFS) listings: 491.
# Updated: 2023.02.05

2a11:840:24::/48 Deny Attacks
Origin: CA
2a04:4280:10::/48 Deny Attacks
2a04:4280:20::/48 Deny Attacks
2a04:4280:30::/48 Deny Attacks
2a04:4280:100::/48 Deny Attacks
2a04:4280:200::/48 Deny Attacks
2a04:8340::/29 Deny Attacks
2a05:abc0::/29 Deny Attacks
2a05:bf00::/29 Deny Attacks
2a05:f7c0::/29 Deny Attacks
2a07:21c0::/29 Deny Attacks
2a07:cd00::/48 Deny Attacks
2a07:e700::/29 Deny Attacks
2a09:2340::/29 Deny Attacks
2a0b:2780::/29 Deny Attacks
2a0c:1340::/29 Deny Attacks
2a0c:89c0::/29 Deny Attacks
2a0c:8dc7::/32 Deny Attacks
2a0c:acc0::/29 Deny Attacks
2a0d:2bc0::/48 Deny Attacks
2a0d:49c0::/29 Deny Attacks
2a12:7740::/29 Deny Attacks
Origin: TR
Profile: Commercial;Dedicated;Domestic ISP;Infrastructure/Transit;Multiplay;Webhosting
Tag: DGN TEKNOLOJI


# ASN 38731 ("Vietel - CHT Compamy Ltd").
# One of Vietnam's largest domestic ISPs, but also a source of forum and blog
# spam, and occasionally sometimes other kinds of unwanted traffic. Their
# network consists of a number of different ASNs, but only this specific ASN is
# included here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 137.
# Updated: 2023.08.12

2401:5f80:3000:2::/64 Deny Attacks
Origin: VN
Profile: Domestic ISP;Tor endpoints here
Tag: Vietel


# ASNs 6876, 41544, 48239 ("TeNeT Scientific Production Enterprise LLC",
# "Scientific-Production Enterprise Information Technologies Ltd").
# Brute-force, SSH, and webapp attacks, port scans, and spam detected here.
# Stop Forum Spam (SFS) listings: 822 (AS6876), 229 (AS48239).
# Updated: 2016.07.20 / Modified: 2021.06.28 / Checked: 2023.03.06

2a04:2c00::/29 Deny Attacks
Origin: UA
Profile: Domestic ISP;Infrastructure/Transit;Multiplay
Tag: TeNeT


# ASN 45271 ("Idea Cellular Limited").
# Indian mobile and internet provider. Brute-force, SSH, and webapp attacks,
# port scans, hacking, and spam detected from here.
# Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 4,576.
# Updated: 2022.10.03

2402:8100:200e:8ec3::/64 Deny Spam
2402:8100:200e:acbc::/64 Deny Spam
2402:8100:200e:c821::/64 Deny Spam
2402:8100:200e:da9e::/64 Deny Spam
2402:8100:200f:427e::/64 Deny Spam
2402:8100:200f:a896::/64 Deny Spam
2402:8100:2010:8f5a::/64 Deny Spam
2402:8100:2011:c9a7::/64 Deny Spam
2402:8100:2028:fad2::/64 Deny Spam
2402:8100:22ae:e95f::/64 Deny Spam
2402:8100:26c8:35f6::/64 Deny Spam
2402:8100:26ca:6e5::/64 Deny Spam
2402:8100:27e1:9253::/64 Deny Spam
2402:8100:27e8:9b41::/64 Deny Spam
2402:8100:27f8:d1b1::/64 Deny Spam
2402:8100:27f9:ac81::/64 Deny Spam
2402:8100:30ad:8351::/64 Deny Spam
2402:8100:31d0:ac3a::/64 Deny Spam
2402:8100:31d9:fc5e::/64 Deny Spam
Origin: IN
Profile: Domestic ISP;Mobile ISP
Tag: Idea Cellular Ltd


# ASN 15895 ('"Kyivstar" PJSC').
# Absolutely **INSANE** levels of spam coming from this network!! Shouldn't
# ever, ever let them through, if at all possible.
# Stop Forum Spam (SFS) listings: 37,688.
# Updated: 2022.09.27 / Checked: 2023.09.12

2a02:8a8::/32 Deny Spam
2a02:2378::/32 Deny Spam
Origin: UA
Profile: Domestic ISP;Tor endpoints here
Tag: Kyivstar


# ASN 13188 ("CONTENT DELIVERY NETWORK LTD", A.K.A. "TRIOLAN, UA").
# Brute-force and SSH attacks, port scans, hacking, and spam detected from
# here. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 1,314.
# Updated: 2023.02.28

2a03:7380:380f:9::/64 Deny Spam
Origin: UA
Profile: Domestic ISP;Mobile ISP;Multiplay
Tag: TRIOLAN


# ASNs 9498, 9730, 24560, 37140, 45609, 132045 ("Bharti Airtel").
# Major Indian domestic ISP also serving other parts of Asia and Africa.
# Also a massive source of spam, brute-force and SSH attacks, malware campaigns
# and more. Listing just the affected ranges/addresses only.
# Stop Forum Spam (SFS) listings: 2,730 (AS9498), 217,677 (AS24560),
# 5 (AS37140), 22,808 (AS45609), 40 (AS132045).
# Updated: 2023.06.12

2401:4900:b84:bbf2::/64 Deny Spam
2401:4900:b8e:8e69::/64 Deny Spam
2401:4900:b96:7862::/64 Deny Spam
2401:4900:b99:fb99::/64 Deny Spam
2401:4900:c1e:acf7::/64 Deny Spam
2401:4900:1686:8bb4::/64 Deny Spam
2401:4900:16df:a754::/64 Deny Spam
2401:4900:1b6a:66bb::/64 Deny Spam
2401:4900:1c0b:6400::/64 Deny Spam
2401:4900:1c19:17f7::/64 Deny Spam
2401:4900:1c1a:420c::/64 Deny Spam
2401:4900:1c22:555::/64 Deny Spam
2401:4900:1c23:377a::/64 Deny Spam
2401:4900:1c48:b785::/64 Deny Spam
2401:4900:1c49:434a::/64 Deny Spam
2401:4900:1c52:8116::/64 Deny Spam
2401:4900:1c54:4677::/64 Deny Spam
2401:4900:1c54:46e8::/64 Deny Spam
2401:4900:1c54:83e4::/64 Deny Spam
2401:4900:1c55:89c5::/64 Deny Spam
2401:4900:1c62:8fa7::/64 Deny Spam
2401:4900:1c63:68d7::/64 Deny Spam
2401:4900:1c63:77b5::/64 Deny Spam
2401:4900:1c63:8e15::/64 Deny Spam
2401:4900:1f2f:205f::/64 Deny Spam
2401:4900:1f34:1781::/64 Deny Spam
2401:4900:1f35:9796::/64 Deny Spam
2401:4900:1f35:a11b::/64 Deny Spam
2401:4900:1f35:e96f::/64 Deny Spam
2401:4900:1f39:685e::/64 Deny Spam
2401:4900:2e8b:7ac3::/64 Deny Spam
2401:4900:2e8c:daca::/64 Deny Spam
2401:4900:2e90:1507::/64 Deny Spam
2401:4900:2e95:dc8c::/64 Deny Spam
2401:4900:2e98:58f7::/64 Deny Spam
2401:4900:2e98:591e::/64 Deny Spam
2401:4900:2e98:e364::/64 Deny Spam
2401:4900:2e9c:e877::/64 Deny Spam
2401:4900:2e9c:ed97::/64 Deny Spam
2401:4900:2e9e:afa4::/64 Deny Spam
2401:4900:2ee1:b49f::/64 Deny Spam
2401:4900:2ee4:9108::/64 Deny Spam
2401:4900:2ee7:8b16::/64 Deny Spam
2401:4900:2eec:4c98::/64 Deny Spam
2401:4900:30c2:77f2::/64 Deny Spam
2401:4900:30e1:47c9::/64 Deny Spam
2401:4900:30ee:6077::/64 Deny Spam
2401:4900:36a4:1284::/64 Deny Spam
2401:4900:36b9:714a::/64 Deny Spam
2401:4900:40f1:1743::/64 Deny Spam
2401:4900:40f8:f0c2::/64 Deny Spam
2401:4900:40ff:760e::/64 Deny Spam
2401:4900:40ff:cecf::/64 Deny Spam
2401:4900:4110:d2ec::/64 Deny Spam
2401:4900:411a:1ed::/64 Deny Spam
2401:4900:411c:4dc2::/64 Deny Spam
2401:4900:411d:d15f::/64 Deny Spam
2401:4900:411f:88f6::/64 Deny Spam
2401:4900:4121:e488::/64 Deny Spam
2401:4900:412b:4ac8::/64 Deny Spam
2401:4900:4144:bcd0::/64 Deny Spam
2401:4900:414a:c31::/64 Deny Spam
2401:4900:4458:1ce::/64 Deny Spam
2401:4900:4465:77ee::/64 Deny Spam
2401:4900:446c:56c6::/64 Deny Spam
2401:4900:446c:99e8::/64 Deny Spam
2401:4900:446d:fde1::/64 Deny Spam
2401:4900:446e:82d0::/64 Deny Spam
2401:4900:446f:6617::/64 Deny Spam
2401:4900:471d:4126::/64 Deny Spam
2401:4900:47f5:7c56::/64 Deny Spam
2401:4900:47ff:f676::/64 Deny Spam
2401:4900:5d4b:f672::/64 Deny Spam
2401:4900:5da8:864::/64 Deny Spam
2401:4900:5fc3:8dae::/64 Deny Spam
2401:4900:704c:8e2f::/64 Deny Spam
2401:4900:710a:e273::/64 Deny Spam
2401:4900:8083:8d1d::/64 Deny Spam
2401:4900:8093:9a7d::/64 Deny Spam
Origin: IN
Profile: Domestic ISP;Frequent changes;Infrastructure/Transit;Multiplay
Tag: Bharti Airtel


# ASN 23944 ("SKYBroadband SKYCable Corporation").
# Phillipines domestic ISP. Spam, phishing, port scans, hacking, and
# brute-force attacks detected from here. Listing just the affected
# ranges/addresses only.
# Stop Forum Spam (SFS) listings: 498.
# Updated: 2023.02.18

2404:3c00:232f:d600::/64 Deny Spam
2404:3c00:502f:3500::/64 Deny Spam
2404:3c00:502f:b0e0::/64 Deny Spam
2404:3c00:842e:ffe0::/64 Deny Spam
2404:3c00:842f:6ca0::/64 Deny Spam
Origin: PH
Profile: Domestic ISP
Tag: SKYBROADBAND


# ASN 12389 ("PJSC Rostelecom").
# Russian domestic ISP. Continuation of previous signatures section.
# Listing this particular ASN in its entirety.
# Stop Forum Spam (SFS) listings: 40,776.
# Updated: 2022.11.18

2a00:1640::/32 Deny Spam
2a00:1e88::/32 Deny Spam
2a00:62c0::/32 Deny Spam
2a00:b440::/32 Deny Spam
2a01:540::/32 Deny Spam
2a01:620::/32 Deny Spam
2a02:ad8::/32 Deny Spam
Origin: RU
Profile: Domestic ISP;Tor endpoints here
Tag: PJSC Rostelecom


